,DBN,School Name,BN,Number of Students_K_G&T,Number of Classes_K_G&T,Average Class Size_K_G&T,Minimum Class Size_K_G&T,Maximum Class Size_K_G&T,Number of Students_K_ICT,Number of Classes_K_ICT,Average Class Size_K_ICT,Minimum Class Size_K_ICT,Maximum Class Size_K_ICT,Number of Students_K_Gen Ed,Number of Classes_K_Gen Ed,Average Class Size_K_Gen Ed,Minimum Class Size_K_Gen Ed,Maximum Class Size_K_Gen Ed,Number of Students_K_ICT & G&T,Number of Classes_K_ICT & G&T,Average Class Size_K_ICT & G&T,Minimum Class Size_K_ICT & G&T,Maximum Class Size_K_ICT & G&T,Number of Students_1_G&T,Number of Classes_1_G&T,Average Class Size_1_G&T,Minimum Class Size_1_G&T,Maximum Class Size_1_G&T,Number of Students_1_ICT,Number of Classes_1_ICT,Average Class Size_1_ICT,Minimum Class Size_1_ICT,Maximum Class Size_1_ICT,Number of Students_1_Gen Ed,Number of Classes_1_Gen Ed,Average Class Size_1_Gen Ed,Minimum Class Size_1_Gen Ed,Maximum Class Size_1_Gen Ed,Number of Students_1_ICT & G&T,Number of Classes_1_ICT & G&T,Average Class Size_1_ICT & G&T,Minimum Class Size_1_ICT & G&T,Maximum Class Size_1_ICT & G&T,Number of Students_2_G&T,Number of Classes_2_G&T,Average Class Size_2_G&T,Minimum Class Size_2_G&T,Maximum Class Size_2_G&T,Number of Students_2_ICT,Number of Classes_2_ICT,Average Class Size_2_ICT,Minimum Class Size_2_ICT,Maximum Class Size_2_ICT,Number of Students_2_Gen Ed,Number of Classes_2_Gen Ed,Average Class Size_2_Gen Ed,Minimum Class Size_2_Gen Ed,Maximum Class Size_2_Gen Ed,Number of Students_2_ICT & G&T,Number of Classes_2_ICT & G&T,Average Class Size_2_ICT & G&T,Minimum Class Size_2_ICT & G&T,Maximum Class Size_2_ICT & G&T,Number of Students_3_G&T,Number of Classes_3_G&T,Average Class Size_3_G&T,Minimum Class Size_3_G&T,Maximum Class Size_3_G&T,Number of Students_3_ICT,Number of Classes_3_ICT,Average Class Size_3_ICT,Minimum Class Size_3_ICT,Maximum Class Size_3_ICT,Number of Students_3_Gen Ed,Number of Classes_3_Gen Ed,Average Class Size_3_Gen Ed,Minimum Class Size_3_Gen Ed,Maximum Class Size_3_Gen Ed,Number of Students_3_ICT & G&T,Number of Classes_3_ICT & G&T,Average Class Size_3_ICT & G&T,Minimum Class Size_3_ICT & G&T,Maximum Class Size_3_ICT & G&T,Number of Students_4_G&T,Number of Classes_4_G&T,Average Class Size_4_G&T,Minimum Class Size_4_G&T,Maximum Class Size_4_G&T,Number of Students_4_ICT,Number of Classes_4_ICT,Average Class Size_4_ICT,Minimum Class Size_4_ICT,Maximum Class Size_4_ICT,Number of Students_4_Gen Ed,Number of Classes_4_Gen Ed,Average Class Size_4_Gen Ed,Minimum Class Size_4_Gen Ed,Maximum Class Size_4_Gen Ed,Number of Students_4_ICT & G&T,Number of Classes_4_ICT & G&T,Average Class Size_4_ICT & G&T,Minimum Class Size_4_ICT & G&T,Maximum Class Size_4_ICT & G&T,Number of Students_5_G&T,Number of Classes_5_G&T,Average Class Size_5_G&T,Minimum Class Size_5_G&T,Maximum Class Size_5_G&T,Number of Students_5_ICT,Number of Classes_5_ICT,Average Class Size_5_ICT,Minimum Class Size_5_ICT,Maximum Class Size_5_ICT,Number of Students_5_Gen Ed,Number of Classes_5_Gen Ed,Average Class Size_5_Gen Ed,Minimum Class Size_5_Gen Ed,Maximum Class Size_5_Gen Ed,Number of Students_5_ICT & G&T,Number of Classes_5_ICT & G&T,Average Class Size_5_ICT & G&T,Minimum Class Size_5_ICT & G&T,Maximum Class Size_5_ICT & G&T,Number of Students_6_ICT,Number of Classes_6_ICT,Average Class Size_6_ICT,Minimum Class Size_6_ICT,Maximum Class Size_6_ICT,Number of Students_6_Gen Ed,Number of Classes_6_Gen Ed,Average Class Size_6_Gen Ed,Minimum Class Size_6_Gen Ed,Maximum Class Size_6_Gen Ed,Number of Students_7_ICT,Number of Classes_7_ICT,Average Class Size_7_ICT,Minimum Class Size_7_ICT,Maximum Class Size_7_ICT,Number of Students_7_Gen Ed,Number of Classes_7_Gen Ed,Average Class Size_7_Gen Ed,Minimum Class Size_7_Gen Ed,Maximum Class Size_7_Gen Ed,Number of Students_8_ICT,Number of Classes_8_ICT,Average Class Size_8_ICT,Minimum Class Size_8_ICT,Maximum Class Size_8_ICT,Number of Students_8_Gen Ed,Number of Classes_8_Gen Ed,Average Class Size_8_Gen Ed,Minimum Class Size_8_Gen Ed,Maximum Class Size_8_Gen Ed,Number of Students_K-8 SC_SC 12:1:1,Number of Classes_K-8 SC_SC 12:1:1,Average Class Size_K-8 SC_SC 12:1:1,Minimum Class Size_K-8 SC_SC 12:1:1,Maximum Class Size_K-8 SC_SC 12:1:1,Number of Students_K-8 SC_SC 12:1,Number of Classes_K-8 SC_SC 12:1,Average Class Size_K-8 SC_SC 12:1,Minimum Class Size_K-8 SC_SC 12:1,Maximum Class Size_K-8 SC_SC 12:1,Number of Students_K-8 SC_SC 6:1:1,Number of Classes_K-8 SC_SC 6:1:1,Average Class Size_K-8 SC_SC 6:1:1,Minimum Class Size_K-8 SC_SC 6:1:1,Maximum Class Size_K-8 SC_SC 6:1:1,Number of Students_K-8 SC_SC 8:1:1,Number of Classes_K-8 SC_SC 8:1:1,Average Class Size_K-8 SC_SC 8:1:1,Minimum Class Size_K-8 SC_SC 8:1:1,Maximum Class Size_K-8 SC_SC 8:1:1,Number of Students_K-8 SC_SC 15:1,Number of Classes_K-8 SC_SC 15:1,Average Class Size_K-8 SC_SC 15:1,Minimum Class Size_K-8 SC_SC 15:1,Maximum Class Size_K-8 SC_SC 15:1
191,06M349,HARBOR HEIGHTS,M349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,13.5,<15,<15,,,,,,38,2,19,19,19,,,,,,64,3,21.33333,18,27,,,,,,,,,,,,,,,,,,,,,,,,,
192,06M366,WASHINGTON HEIGHTS ACADEMY,M366,,,,,,,,,,,51,2,25.5,25,26,,,,,,,,,,,,,,,,59,2,29.5,29,30,,,,,,,,,,,,,,,,59,2,29.5,29,30,,,,,,,,,,,,,,,,60,2,30,29,31,,,,,,,,,,,,,,,,63,2,31.5,31,32,,,,,,,,,,,53,2,26.5,26,27,,,,,,,,,,,64,2,32,32,32,,,,,,56,2,28,28,28,,,,,,55,2,27.5,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,06M368,HAMILTON HEIGHTS SCHOOL,M368,,,,,,,,,,,15,1,15,15,15,,,,,,,,,,,,,,,,23,1,23,23,23,,,,,,,,,,,18,1,18,18,18,16,1,16,16,16,,,,,,,,,,,,,,,,35,2,17.5,17,18,,,,,,,,,,,,,,,,30,2,15,<15,17,,,,,,,,,,,,,,,,34,2,17,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,06M528,IS 528 BEA FULLER RODGERS SCHOOL,M528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,26,26,26,69,3,23,20,26,26,1,26,26,26,27,1,27,27,27,54,2,27,26,28,22,1,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,
195,07X001,PS 001 COURTLANDT SCHOOL,X001,,,,,,23,1,23,23,23,70,3,23.33333,21,25,,,,,,,,,,,25,1,25,25,25,71,4,17.75,16,19,,,,,,,,,,,15,1,15,15,15,69,3,23,20,25,,,,,,,,,,,26,1,26,26,26,59,3,19.66666,17,22,,,,,,,,,,,26,1,26,26,26,67,3,22.33333,22,23,,,,,,,,,,,29,1,29,29,29,61,3,20.33333,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,5,11,10,12,,,,,,,,,,,,,,,
196,07X005,PS 5 PORT MORRIS,X005,,,,,,,,,,,62,3,20.66666,20,21,,,,,,,,,,,32,1,32,32,32,28,1,28,28,28,,,,,,,,,,,,,,,,46,2,23,23,23,,,,,,,,,,,26,1,26,26,26,41,2,20.5,<15,29,,,,,,,,,,,25,1,25,25,25,27,1,27,27,27,,,,,,,,,,,25,1,25,25,25,30,1,30,30,30,,,,,,,,,,,77,3,25.66666,16,31,30,1,30,30,30,51,2,25.5,24,27,31,1,31,31,31,30,1,30,30,30,24,2,12,12,12,36,3,12,11,13,,,,,,12,2,6,<6,7,,,,,
197,07X018,PS 018 JOHN PETER ZENGER,X018,,,,,,22,1,22,22,22,58,3,19.33333,18,20,,,,,,,,,,,19,1,19,19,19,57,3,19,17,21,,,,,,,,,,,25,1,25,25,25,64,3,21.33333,15,25,,,,,,,,,,,51,2,25.5,24,27,51,3,17,<15,23,,,,,,,,,,,25,1,25,25,25,47,2,23.5,21,26,,,,,,,,,,,26,1,26,26,26,57,3,19,<15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5,11.6,10,13,,,,,,,,,,,,,,,
198,07X025,PS 025 BILINGUAL SCHOOL,X025,,,,,,48,2,24,23,25,26,1,26,26,26,,,,,,,,,,,26,1,26,26,26,55,2,27.5,27,28,,,,,,,,,,,21,1,21,21,21,44,2,22,21,23,,,,,,,,,,,24,1,24,24,24,42,2,21,18,24,,,,,,,,,,,24,1,24,24,24,47,2,23.5,21,26,,,,,,,,,,,20,1,20,20,20,18,1,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,9.333333,8,11,,,,,,43,6,7.166666,6,8,,,,,
199,07X029,PS/MS 029 MELROSE SCHOOL,X029,,,,,,20,1,20,20,20,46,2,23,23,23,,,,,,,,,,,21,1,21,21,21,43,2,21.5,20,23,,,,,,,,,,,26,1,26,26,26,51,2,25.5,25,26,,,,,,,,,,,21,1,21,21,21,50,2,25,23,27,,,,,,,,,,,22,1,22,22,22,52,3,17.33333,<15,24,,,,,,,,,,,26,1,26,26,26,59,2,29.5,29,30,,,,,,25,1,25,25,25,49,2,24.5,24,25,26,1,26,26,26,55,2,27.5,25,30,26,1,26,26,26,52,2,26,26,26,42,4,10.5,8,12,,,,,,,,,,,,,,,,,,,,
200,07X030,PS 030 WILTON,X030,,,,,,18,1,18,18,18,43,2,21.5,19,24,,,,,,,,,,,23,1,23,23,23,46,2,23,21,25,,,,,,,,,,,28,1,28,28,28,51,2,25.5,23,28,,,,,,,,,,,24,1,24,24,24,56,3,18.66666,16,21,,,,,,,,,,,,,,,,78,3,26,23,28,,,,,,,,,,,25,1,25,25,25,67,3,22.33333,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,<6,<6,41,4,10.25,8,12,,,,,,,,,,,,,,,
201,07X031,PS/MS 031 THE WILLIAM LLOYD GARRISON,X031,,,,,,25,1,25,25,25,47,2,23.5,22,25,,,,,,,,,,,20,1,20,20,20,46,2,23,21,25,,,,,,,,,,,26,1,26,26,26,51,2,25.5,25,26,,,,,,,,,,,28,1,28,28,28,30,1,30,30,30,,,,,,,,,,,27,1,27,27,27,30,1,30,30,30,,,,,,,,,,,29,1,29,29,29,29,1,29,29,29,,,,,,22,1,22,22,22,50,2,25,23,27,28,1,28,28,28,47,2,23.5,22,25,23,1,23,23,23,45,2,22.5,19,26,,,,,,52,5,10.4,9,12,,,,,,,,,,,,,,,
202,07X043,PS 043 JONAS BRONCK,X043,,,,,,,,,,,49,2,24.5,24,25,,,,,,,,,,,24,1,24,24,24,27,1,27,27,27,,,,,,,,,,,16,1,16,16,16,46,2,23,21,25,,,,,,,,,,,25,1,25,25,25,41,2,20.5,19,22,,,,,,,,,,,25,1,25,25,25,46,2,23,23,23,,,,,,,,,,,,,,,,65,3,21.66666,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,8,8,8,23,2,11.5,11,12,,,,,,,,,,,,,,,
203,07X049,PS 049 WILLIS AVENUE,X049,,,,,,23,1,23,23,23,69,4,17.25,17,18,,,,,,,,,,,25,1,25,25,25,64,4,16,<15,18,,,,,,,,,,,22,1,22,22,22,65,4,16.25,<15,18,,,,,,,,,,,20,1,20,20,20,75,4,18.75,<15,21,,,,,,,,,,,22,1,22,22,22,52,4,13,<15,<15,,,,,,,,,,,20,1,20,20,20,56,4,14,<15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,12,12,12,48,4,12,11,13,,,,,,,,,,,,,,,
204,07X065,PS 065 MOTHER HALE ACADEMY,X065,,,,,,24,1,24,24,24,36,2,18,15,21,,,,,,,,,,,21,1,21,21,21,34,2,17,<15,20,,,,,,,,,,,21,1,21,21,21,40,2,20,19,21,,,,,,,,,,,20,1,20,20,20,30,2,15,<15,17,,,,,,,,,,,21,1,21,21,21,21,1,21,21,21,,,,,,,,,,,29,1,29,29,29,26,1,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,12,12,12,,,,,,,,,,,,,,,
205,07X151,JHS 151 LOU GEHRIG,X151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,2,24.5,22,27,26,1,26,26,26,50,2,25,25,25,25,1,25,25,25,29,1,29,29,29,50,2,25,23,27,22,2,11,11,11,9,1,9,9,9,,,,,,,,,,,,,,,
206,07X154,PS 154 JONATHAN D HYATT,X154,,,,,,25,1,25,25,25,24,1,24,24,24,,,,,,,,,,,22,1,22,22,22,34,2,17,16,18,,,,,,,,,,,19,1,19,19,19,40,2,20,20,20,,,,,,,,,,,21,1,21,21,21,34,2,17,16,18,,,,,,,,,,,23,1,23,23,23,36,2,18,15,21,,,,,,,,,,,20,1,20,20,20,41,2,20.5,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,07X157,PS 157 GROVE HILL,X157,,,,,,24,1,24,24,24,64,3,21.33333,21,22,,,,,,,,,,,22,1,22,22,22,67,3,22.33333,20,24,,,,,,,,,,,26,1,26,26,26,69,3,23,22,24,,,,,,,,,,,42,2,21,21,21,55,2,27.5,27,28,,,,,,,,,,,43,2,21.5,21,22,51,2,25.5,24,27,,,,,,,,,,,21,1,21,21,21,57,3,19,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,10,8,12,,,,,,,,,,,,,,,
208,07X161,PS 161 PONCE DE LEON,X161,,,,,,22,1,22,22,22,45,2,22.5,22,23,,,,,,,,,,,23,1,23,23,23,50,2,25,24,26,,,,,,,,,,,,,,,,72,3,24,23,26,,,,,,,,,,,24,1,24,24,24,43,2,21.5,19,24,,,,,,,,,,,22,1,22,22,22,45,2,22.5,21,24,,,,,,,,,,,28,1,28,28,28,29,1,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,4,12.25,12,13,,,,,,,,,,,,,,,,,,,,
209,07X179,PS 179,X179,,,,,,22,1,22,22,22,23,1,23,23,23,,,,,,,,,,,,,,,,49,3,16.33333,<15,22,,,,,,,,,,,26,1,26,26,26,24,1,24,24,24,,,,,,,,,,,,,,,,46,2,23,21,25,,,,,,,,,,,,,,,,38,2,19,18,20,,,,,,,,,,,23,1,23,23,23,23,1,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,9.666666,8,11,,,,,,,,,,,,,,,
210,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,X221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,24,24,24,49,2,24.5,24,25,30,1,30,30,30,58,2,29,29,29,28,1,28,28,28,56,2,28,28,28,,,,,,31,3,10.33333,8,12,,,,,,,,,,,,,,,
211,07X223,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,X223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,30,30,30,54,2,27,27,27,31,1,31,31,31,62,2,31,30,32,61,2,30.5,30,31,30,1,30,30,30,,,,,,21,2,10.5,8,13,,,,,,,,,,,,,,,
212,07X224,PS / IS 224,X224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,26,26,26,59,2,29.5,29,30,57,2,28.5,28,29,59,2,29.5,27,32,28,1,28,28,28,88,3,29.33333,28,31,,,,,,33,3,11,10,12,,,,,,,,,,,,,,,
213,07X277,PS 277,X277,,,,,,,,,,,72,3,24,23,25,,,,,,,,,,,27,1,27,27,27,48,2,24,24,24,,,,,,,,,,,21,1,21,21,21,37,2,18.5,17,20,,,,,,,,,,,52,2,26,26,26,24,1,24,24,24,,,,,,,,,,,22,1,22,22,22,42,2,21,20,22,,,,,,,,,,,23,1,23,23,23,48,2,24,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,X296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,22,22,22,44,2,22,19,25,27,1,27,27,27,56,2,28,28,28,26,1,26,26,26,45,2,22.5,21,24,21,2,10.5,10,11,6,1,6,6,6,,,,,,,,,,,,,,,
215,07X298,ACADEMY OF PUBLIC RELATIONS,X298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,14.5,<15,20,41,2,20.5,20,21,25,1,25,25,25,47,2,23.5,21,26,28,1,28,28,28,46,2,23,22,24,12,1,12,12,12,18,2,9,8,10,,,,,,,,,,,,,,,
216,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,X343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,30,30,30,59,2,29.5,29,30,30,1,30,30,30,62,2,31,31,31,29,1,29,29,29,59,2,29.5,29,30,12,1,12,12,12,19,2,9.5,8,11,,,,,,,,,,,,,,,
217,07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,X359,,,,,,43,2,21.5,18,25,18,1,18,18,18,,,,,,,,,,,48,3,16,<15,19,,,,,,,,,,,,,,,,64,3,21.33333,21,22,,,,,,,,,,,21,1,21,21,21,40,2,20,19,21,,,,,,,,,,,,,,,,35,2,17.5,17,18,,,,,,14,1,14,<15,<15,,,,,,40,2,20,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,07X369,YOUNG LEADERS ELEMENTARY SCHOOL,X369,,,,,,23,1,23,23,23,,,,,,,,,,,,,,,,20,1,20,20,20,,,,,,,,,,,,,,,,17,1,17,17,17,19,1,19,19,19,,,,,,,,,,,17,1,17,17,17,14,1,14,<15,<15,,,,,,,,,,,20,1,20,20,20,16,1,16,16,16,,,,,,,,,,,29,1,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2,10.5,10,11,,,,,,,,,,,,,,,,,,,,
219,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,X500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,26,26,26,22,1,22,22,22,31,2,15.5,<15,18,23,1,23,23,23,56,2,28,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,X551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,2,28,28,28,23,1,23,23,23,54,2,27,26,28,26,1,26,26,26,23,1,23,23,23,44,2,22,20,24,14,1,14,14,14,14,1,14,14,14,,,,,,,,,,,,,,,
221,07X584,IS 584,X584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,23,23,23,49,3,16.33333,<15,25,28,1,28,28,28,33,1,33,33,33,25,1,25,25,25,48,2,24,22,26,20,2,10,8,12,22,2,11,9,13,,,,,,,,,,,,,,,
222,08X014,PS X014 SENATOR JOHN CALANDRA,X014,,,,,,23,1,23,23,23,51,2,25.5,25,26,,,,,,,,,,,25,1,25,25,25,43,2,21.5,20,23,,,,,,,,,,,28,1,28,28,28,63,2,31.5,31,32,,,,,,,,,,,25,1,25,25,25,84,3,28,27,29,,,,,,,,,,,20,1,20,20,20,78,3,26,25,27,,,,,,,,,,,24,1,24,24,24,60,3,20,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,11.5,11,12,,,,,,,,,,,,,,,
223,08X036,PS 036 UNIONPORT,X036,,,,,,22,1,22,22,22,92,4,23,23,23,,,,,,,,,,,26,1,26,26,26,84,3,28,26,29,,,,,,,,,,,27,1,27,27,27,81,3,27,26,28,,,,,,,,,,,30,1,30,30,30,74,3,24.66666,24,25,,,,,,,,,,,32,1,32,32,32,62,2,31,30,32,,,,,,,,,,,27,1,27,27,27,76,3,25.33333,24,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,4,12,11,13,,,,,,,,,,,,,,,,,,,,
224,08X048,PS 048 JOSEPH R DRAKE,X048,,,,,,18,1,18,18,18,90,4,22.5,21,24,,,,,,,,,,,16,1,16,16,16,61,3,20.33333,20,21,,,,,,,,,,,47,2,23.5,23,24,47,2,23.5,22,25,,,,,,,,,,,47,2,23.5,23,24,43,2,21.5,19,24,,,,,,,,,,,43,2,21.5,20,23,54,2,27,27,27,,,,,,,,,,,43,2,21.5,21,22,45,2,22.5,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,7.5,7,8,65,6,10.83333,8,12,,,,,,,,,,,,,,,
225,08X062,PS 062 INOCENSIO CASANOVA,X062,,,,,,20,1,20,20,20,58,3,19.33333,19,20,,,,,,,,,,,25,1,25,25,25,60,3,20,<15,27,,,,,,,,,,,29,1,29,29,29,62,2,31,29,33,,,,,,,,,,,26,1,26,26,26,75,3,25,24,26,,,,,,,,,,,31,1,31,31,31,65,2,32.5,32,33,,,,,,,,,,,26,1,26,26,26,76,3,25.33333,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,8,10.75,6,13,11,1,11,11,11,,,,,,,,,,,,,,,
226,08X069,PS 069 JOURNEY PREP SCHOOL,X069,,,,,,18,1,18,18,18,60,3,20,18,22,,,,,,,,,,,32,1,32,32,32,53,2,26.5,26,27,,,,,,,,,,,26,1,26,26,26,76,3,25.33333,25,26,,,,,,,,,,,27,1,27,27,27,56,2,28,28,28,,,,,,,,,,,29,1,29,29,29,57,2,28.5,28,29,,,,,,,,,,,30,1,30,30,30,59,2,29.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,11,10,12,,,,,,,,,,,,,,,
227,08X071,PS 071 ROSE E SCALA,X071,,,,,,26,1,26,26,26,98,4,24.5,24,25,,,,,,,,,,,28,1,28,28,28,110,4,27.5,27,28,,,,,,,,,,,56,2,28,28,28,105,4,26.25,25,28,,,,,,,,,,,65,2,32.5,32,33,129,4,32.25,31,33,,,,,,,,,,,61,2,30.5,30,31,126,4,31.5,31,32,,,,,,,,,,,59,2,29.5,29,30,156,5,31.2,29,33,,,,,,53,2,26.5,26,27,137,5,27.4,26,29,57,2,28.5,27,30,119,4,29.75,29,30,59,2,29.5,29,30,119,4,29.75,29,30,81,7,11.57142,9,13,,,,,,,,,,,,,,,,,,,,
228,08X072,PS 072 DR WILLIAM DORNEY,X072,,,,,,19,1,19,19,19,84,4,21,18,22,,,,,,18,1,18,18,18,29,1,29,29,29,79,3,26.33333,25,27,,,,,,,,,,,20,1,20,20,20,82,3,27.33333,24,29,,,,,,,,,,,23,1,23,23,23,68,3,22.66666,21,24,,,,,,,,,,,50,2,25,23,27,62,2,31,30,32,,,,,,,,,,,28,1,28,28,28,90,3,30,28,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,7,9.857142,<6,12,31,3,10.33333,9,12,,,,,,,,,,,,,,,
229,08X075,PS 75 SCHOOL OF RESEARCH AND DISCOVERY,X075,,,,,,22,1,22,22,22,50,2,25,25,25,,,,,,,,,,,20,1,20,20,20,72,3,24,22,26,,,,,,,,,,,24,1,24,24,24,64,3,21.33333,20,23,,,,,,,,,,,26,1,26,26,26,68,3,22.66666,20,24,,,,,,,,,,,27,1,27,27,27,79,3,26.33333,25,28,,,,,,,,,,,30,1,30,30,30,60,2,30,28,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,12,12,12,12,1,12,12,12,,,,,,,,,,,,,,,
230,08X093,PS 093 ALBERT G OLIVER,X093,,,,,,,,,,,46,2,23,21,25,,,,,,,,,,,17,1,17,17,17,21,1,21,21,21,,,,,,,,,,,17,1,17,17,17,15,1,15,15,15,,,,,,,,,,,22,1,22,22,22,18,1,18,18,18,,,,,,,,,,,21,1,21,21,21,21,1,21,21,21,,,,,,,,,,,23,1,23,23,23,26,1,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,11,10,12,,,,,,,,,,,,,,,,,,,,
231,08X100,PS 100 ISAAC CLASON,X100,,,,,,16,1,16,16,16,57,3,19,16,21,,,,,,,,,,,22,1,22,22,22,68,3,22.66666,22,24,,,,,,,,,,,24,1,24,24,24,50,2,25,23,27,,,,,,,,,,,21,1,21,21,21,46,2,23,21,25,,,,,,,,,,,18,1,18,18,18,60,3,20,18,21,,,,,,,,,,,30,1,30,30,30,59,2,29.5,29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,11,8,14,45,4,11.25,10,12,,,,,,,,,,,,,,,
